"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\02 backplane.8-slot\backplane.8-slot.kicad_sch"
"Date:","3/29/2023 11:14:28 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","P6","INT-CHN","backplane.8-slot-rescue:CONN_01X04-conn","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","P7","INT-CHN","backplane.8-slot-rescue:CONN_01X04-conn","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","R6","470","backplane.8-slot-rescue:R-device","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"","","T1","Screw_Terminal_1x02","backplane.8-slot-rescue:Screw_Terminal_1x02-conn","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"","","T2","Screw_Terminal_1x02","backplane.8-slot-rescue:Screw_Terminal_1x02-conn","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","D5","LED","backplane.8-slot-rescue:LED-device","LED_THT:LED_D3.0mm",""
"2","4","H1, H2, H3, H4","MountingHole","backplane.8-slot-rescue:MountingHole_Pad-mechanical","MountingHole:MountingHole_3.2mm_M3_Pad",""
"3","24","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24","CONN_02X25","backplane.8-slot-rescue:CONN_02X25-conn","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical",""
"4","7","P1, P2, P3, P4, P5, P6, P7","INT-CHN","backplane.8-slot-rescue:CONN_01X04-conn","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"5","1","R6","470","backplane.8-slot-rescue:R-device","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"6","2","T1, T2","Screw_Terminal_1x02","backplane.8-slot-rescue:Screw_Terminal_1x02-conn","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
