"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\01 template.prototyping\template.prototyping.kicad_sch"
"Date:","3/29/2023 11:13:32 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","194"

"Individual Components:"

"","","J53","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J54","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J55","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J56","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J57","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J58","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J59","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J60","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J61","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J62","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J63","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J64","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J65","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J66","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J67","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J68","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J69","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J70","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J71","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J72","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J73","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J74","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
