"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\GitHub\20 processor.TMS9995\processor.tms9995.kicad_sch"
"Date:","10/15/2023 12:56:12 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","93"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"SW1, ","1","RESET","SW_Push","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","Push button switch, generic, two pins",""
"U1, ","1","74LS14","74LS14","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Hex inverter schmitt trigger",""
"U2, ","1","74LS07","74LS07","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Hex Buffers and Drivers With Open Collector High Voltage Outputs",""
"U3, ","1","TMS9995-DIP_1","TMS9995-DIP_1","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","",""
"U4, ","1","74LS04","74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Hex Inverter",""
"U5, U7, ","2","74LS74","74LS74","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Dual D Flip-flop, Set & Reset",""
"U6, ","1","74LS112","74LS112","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","dual JK Flip-Flop, Set & Reset",""
"U8, ","1","GAL22V10","GAL22V10","Package_DIP:DIP-24_W7.62mm_Socket_LongPads","",""
"U9, U10, U11, U13, U14, ","5","74LS244","74LS244","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","Octal Buffer and Line Driver With 3-State Output, active-low enables, non-inverting outputs",""
"U12, ","1","74LS245","74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","Octal BUS Transceivers, 3-State outputs",""
"U15, ","1","74LS138","74LS138","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","Decoder 3 to 8 active low outputs",""
"U16, ","1","74LS32","74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Quad 2-input OR",""
"U17, U20, ","2","74LS688","74LS688","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","8-bit magnitude comparator",""
"U18, ","1","27C256","27C256","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","OTP EPROM 256 KiBit",""
"U19, ","1","DS1233","Conn_01x03","Package_TO_SOT_THT:TO-92L_HandSolder","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"U21, ","1","TMS9902A","TMS9902A","Package_DIP:DIP-18_W7.62mm_Socket_LongPads","",""
"U22, ","1","74LS259","74LS259","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","8-bit addressable latch",""
"U23, ","1","74LS612-DIP","74LS612-DIP","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","",""
"Y1, ","1","12MHz","Crystal","Crystal:Crystal_HC49-U_Vertical","Two pin crystal",""
